startpoint,endpoint,type
_114294_,_116998_,c
_114294_,_116833_,c
_114294_,_116915_,c
_114294_,_114384_,c
_114294_,_115097_,c
_114294_,_116669_,c
_114294_,_114568_,c
_114294_,_114771_,c
_114294_,_114814_,b
_114294_,_115140_,b
_114294_,_115383_,c
_114294_,_115341_,c
_114294_,_114974_,c
_114294_,_114690_,c
_114294_,_116710_,c
_114294_,_114417_,c
_114294_,_115627_,c
_114294_,_115824_,d
_114294_,_115220_,c
_114294_,_116506_,c
_114294_,_114933_,c
_114294_,_114608_,c
_114294_,_113501_,c
_114294_,_115880_,c
_114294_,_116271_,c
_114294_,_115545_,c
_114294_,_114303_,c
_114294_,_115709_,c
_114294_,_114451_,c
_114294_,_114567_,c
_114294_,_114416_,c
_114294_,_116505_,c
_114294_,_114343_,c
_114294_,_114491_,c
_114294_,_116997_,c
_114294_,_114853_,c
_114294_,_116875_,c
_114294_,_116547_,c
_114294_,_117203_,c
_114294_,_116792_,c
_114294_,_114450_,c
_114294_,_115219_,c
_114294_,_117079_,c
_114294_,_115823_,c
_114294_,_115015_,c
_114294_,_116956_,c
_114294_,_117120_,c
_114294_,_114302_,c
_114294_,_114813_,c
_114294_,_117400_,c
_114294_,_114730_,c
_114294_,_116464_,c
_114294_,_116874_,c
_114294_,_116387_,c
_114294_,_115504_,c
_114294_,_116751_,c
_114294_,_117243_,c
_114294_,_115382_,c
_114294_,_115300_,c
_114294_,_115056_,c
_114294_,_116628_,c
_114294_,_116312_,c
_114294_,_114649_,c
_114294_,_117038_,c
_114294_,_115138_,c
_114294_,_115463_,c
_114294_,_117202_,c
_114294_,_116546_,c
_114294_,_114812_,c
_114294_,_114294_,c
_115439_,_115439_,c
_114991_,_114991_,c
_115640_,_115640_,c
_115723_,_115723_,c
_115518_,_115518_,c
_116769_,_116769_,c
_117260_,_117260_,c
_116767_,_116767_,c
_115520_,_115520_,c
_116929_,_116929_,c
_117174_,_117174_,c
_115601_,_115601_,c
_115724_,_115724_,c
_115519_,_115519_,c
_115637_,_115637_,c
_116850_,_116850_,c
_115521_,_115521_,c
_117095_,_117095_,c
_115074_,_115074_,c
_116851_,_116851_,c
_117096_,_117096_,c
_115763_,_115763_,c
_114949_,_114949_,c
_114360_,_114360_,c
_115638_,_115638_,c
_115600_,_115600_,c
_115440_,_115440_,c
_115561_,_115561_,c
_116723_,_116723_,c
_114950_,_114950_,c
_117173_,_117173_,c
_115522_,_115522_,c
_115762_,_115762_,c
_115438_,_115438_,c
_117259_,_117259_,c
_114361_,_114361_,c
_116646_,_116646_,c
_114359_,_114359_,c
_115562_,_115562_,c
_114992_,_114992_,c
_115726_,_115726_,c
_115727_,_115727_,c
_117261_,_117261_,c
_114951_,_114951_,c
_113515_,_113515_,c
_116849_,_116849_,c
_115072_,_115072_,c
_116722_,_116722_,c
_113516_,_113516_,c
_116329_,_116329_,c
_115725_,_115725_,c
_113517_,_113517_,c
_115073_,_115073_,c
_115563_,_115563_,c
_116808_,_116808_,c
_113518_,_113518_,c
_117097_,_117097_,c
_116809_,_116809_,c
_113519_,_113519_,c
_116644_,_116644_,c
_116328_,_116328_,c
_115599_,_115599_,c
_116806_,_116806_,c
_114297_,_115357_,b
_114297_,_115358_,b
_114297_,_115359_,b
_114297_,_115355_,b
_114297_,_114788_,b
_114297_,_115356_,b
_114297_,_114787_,b
_114297_,_114789_,b
_114297_,_114786_,b
_114297_,_114785_,b
_114297_,_116519_,b
_114297_,_116520_,b
_114297_,_115354_,b
_114297_,_115352_,b
